Series Name,Series Code,Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Indonesia,IDN,..,..,..,14.8,11.8,11.9,11.9,11.9,12.2,12.2,12.2,12.2,12.2,12.2,12
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Iran, Islamic Rep."",IRN,..,..,..,7.2,7.2,7.2,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Iraq,IRQ,..,..,..,0.3,0.9,0.9,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Ireland,IRL,..,..,..,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Isle of Man,IMN,..,..,..,..,..,0.3,3.7,3.7,5.5,5.5,5.5,5.5,5.5,5.8,4.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Israel,ISR,..,..,..,19.9,19.9,19.9,19.9,19.9,19.9,24.5,24.5,24.5,24.5,24.5,27.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Italy,ITA,..,..,..,21.4,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.6,21.6,21.6
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Jamaica,JAM,..,..,..,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,16.2,20,20,19.9
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Japan,JPN,..,..,..,16.4,19.4,19.4,29.4,29.4,29.4,29.4,29.4,29.7,29.7,29.7,29.5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Jordan,JOR,..,..,..,1.5,1.7,1.7,1.7,1.8,1.8,3.1,4.5,4.5,4.5,4.5,5.4
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Kazakhstan,KAZ,..,..,..,3.3,3.3,3.3,3.3,3.3,3.3,3.3,10,10,10,10,10.1
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Kenya,KEN,..,..,..,14.3,12.2,12.2,12.4,12.4,12.4,12.4,12.4,12.4,12.2,12.2,14
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Kiribati,KIR,..,..,..,22.2,22.2,22.2,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.9
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Korea, Dem. People's Rep."",PRK,..,..,..,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4"
"Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,""Korea, Rep."",KOR,..,..,..,6.6,7.6,7.6,11.2,11.2,11.7,15.7,16.7,17,17,17,17.4"
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Kuwait,KWT,..,..,..,18.8,18.8,18.8,17.5,17.5,17.5,17.1,17.1,17.1,17.1,17,17.1
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Kyrgyz Republic,KGZ,..,..,..,6.5,6.5,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Lao PDR,LAO,..,..,..,16.7,16.7,16.7,16.7,16.7,16.7,16.7,18.7,18.7,18.7,19,18.8
